Instrument,Company,CurrencyCode,ISIN,MinTradedQty,MarketName,MarketH
MSDU,Amundi Index MSCI Emerging Markets SRI - UCITS ETF DR (D),USD,LU2059756754,1,London Stock Exchange,7:01 am to 3:30 pm
MSF,Microsoft Corp.,EUR,US5949181045,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
MSF2,Leverage Shares 2x Microsoft Corporation ETP,USD,IE00BF03XY85,1,London Stock Exchange,7:01 am to 3:30 pm
MSF3,Leverage Shares 3x Microsoft ETP,USD,IE00BK5BZV36,1,London Stock Exchange,7:01 am to 3:30 pm
MSFE,Leverage Shares 2x Microsoft Corporation ETP,EUR,IE00BF03XY85,1,London Stock Exchange,7:01 am to 3:30 pm
MSFS,Leverage Shares -1x Microsoft ETP,USD,IE00BKTW9M13,1,London Stock Exchange,7:01 am to 3:30 pm
MSFT,Microsoft Corp.,USD,US5949181045,0.001,NASDAQ,1:30 pm to 8:00 pm
MSI,Motorola Solutions Inc.,USD,US6200763075,0.001,NYSE,1:30 pm to 8:00 pm
MSLH,Marshalls PLC,GBX,GB00B012BV22,0.1,London Stock Exchange,7:01 am to 3:30 pm
MSRG,Amundi Index MSCI Emerging Markets SRI - UCITS ETF DR (A),GBX,LU1861138961,0.01,London Stock Exchange,7:01 am to 3:30 pm
MSRU,Amundi Index MSCI Emerging Markets SRI - UCITS ETF DR (A),USD,LU1861138961,0.02,London Stock Exchange,7:01 am to 3:30 pm
MSTR,MicroStrategy Incorporated,USD,US5949724083,0.001,NASDAQ,1:30 pm to 8:00 pm
MT,ArcelorMittal S.A.,EUR,LU1598757687,0.1,Euronext Netherlands,7:00 am to 3:30 pm
MTB,M&T Bank Corp.,USD,US55261F1049,0.01,NYSE,1:30 pm to 8:00 pm
MTC,Mothercare PLC,GBX,GB0009067447,1,London Stock Exchange,7:01 am to 3:30 pm
MTCH,"Match Group, Inc.",USD,US57667L1070,0.01,NASDAQ,1:30 pm to 8:00 pm
MTCR,Metacrine Inc.,USD,US59101E1038,1,NASDAQ,1:30 pm to 8:00 pm
MTD,Mettler-Toledo International Inc.,USD,US5926881054,0.001,NYSE,1:30 pm to 8:00 pm
MTEM,"Molecular Templates, Inc.",USD,US6085501095,1,NASDAQ,1:30 pm to 8:00 pm
MTH,Meritage Homes Corporation,USD,US59001A1025,0.001,NYSE,1:30 pm to 8:00 pm
MTLS,Materialise NV ADR,USD,US57667T1007,0.01,NON-ISA NASDAQ,1:30 pm to 8:00 pm
MTN,"Vail Resorts, Inc.",USD,US91879Q1094,1,NYSE,1:30 pm to 8:00 pm
MTO,Mitie Group PLC,GBX,GB0004657408,1,London Stock Exchange,7:01 am to 3:30 pm
MTP,Midatech Pharma plc ADR,USD,US59564R3021,0.1,NASDAQ,1:30 pm to 8:00 pm
MTRO,Metro Bank PLC,GBX,GB00BZ6STL67,0.1,London Stock Exchange,7:01 am to 3:30 pm
MTSC,MTS Systems Corporation,USD,US5537771033,1,NASDAQ,1:30 pm to 8:00 pm
MTSI,"MACOM Technology Solutions Holdings, Inc.",USD,US55405Y1001,0.01,NASDAQ,1:30 pm to 8:00 pm
MTVW,Mountview Estates PLC,GBX,GB0006081037,1,London Stock Exchange,7:01 am to 3:30 pm
MTX,MTU Aero Engines AG,EUR,DE000A0D9PT0,0.001,Deutsche Börse Xetra,7:00 am to 3:30 pm
MU,Micron Technology,USD,US5951121038,0.01,NASDAQ,1:30 pm to 8:00 pm
MU2,Leverage Shares 2x Micron Technology ETP,USD,IE00BKT66K01,1,London Stock Exchange,7:01 am to 3:30 pm
MUMG,Mensch und Maschine GmbH,EUR,DE0006580806,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
MUR,Murphy Oil,USD,US6267171022,0.01,NYSE,1:30 pm to 8:00 pm
MUS,Leverage Shares -1x Micron Technology ETP,USD,IE00BKT66P55,1,London Stock Exchange,7:01 am to 3:30 pm
MUSA,"Murphy USA, Inc.",USD,US6267551025,1,NYSE,1:30 pm to 8:00 pm
MUT,Murray Income Trust PLC,GBX,GB0006111123,0.1,London Stock Exchange,7:01 am to 3:30 pm
MUV2,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,EUR,DE0008430026,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
