Instrument,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
Soybean Oil-13Aug21,1,10%,2%,-0.002421,-0.001233,12:00 am to 6:19 pm
Soybean Oil-14Dec20,1,10%,2%,-0.002416,-0.001231,12:00 am to 6:19 pm
Soybean Oil-14Dec21,1,10%,2%,-0.002381,-0.001213,12:00 am to 6:19 pm
Soybean Oil-14Jan21,1,10%,2%,-0.002421,-0.001233,12:00 am to 6:19 pm
Soybean Oil-14Jul21,1,10%,2%,-0.002431,-0.001238,12:00 am to 6:19 pm
Soybean Oil-14May21,1,10%,2%,-0.002428,-0.001237,12:00 am to 6:19 pm
Soybean Oil-14Oct20,1,10%,2%,-0.002419,-0.001232,12:00 am to 6:19 pm
Soybean Oil-14Oct21,1,10%,2%,-0.002379,-0.001212,12:00 am to 6:19 pm
Soybean Oil-14Sep21,1,10%,2%,-0.002404,-0.001225,12:00 am to 6:19 pm
Soybean-12Mar21,0.1,10%,2%,-0.073676,-0.037533,12:00 am to 6:19 pm
Soybean-13Nov20,0.1,10%,2%,-0.073786,-0.037589,12:00 am to 6:19 pm
Soybean-14Jan21,0.1,10%,2%,-0.074044,-0.037720,12:00 am to 6:19 pm
Soybean-14Jul21,0.1,10%,2%,-0.073731,-0.037561,12:00 am to 6:19 pm
Soybean-14May21,0.1,10%,2%,-0.073537,-0.037463,12:00 am to 6:19 pm
Spain 35,0.001,10%,0.2%,-0.562259,0.009217,6:00 am to 6:00 pm
Sugar-26Feb21,1,10%,2%,-0.001183,-0.000695,7:30 am to 5:00 pm
Sugar-28Feb22,1,10%,2%,-0.001136,-0.000667,7:30 am to 5:00 pm
Sugar-28Feb23,1,10%,2%,-0.001077,-0.000632,7:30 am to 5:00 pm
Sugar-29Apr22,1,10%,2%,-0.001093,-0.000642,7:30 am to 5:00 pm
Sugar-30Apr21,1,10%,2%,-0.001161,-0.000682,7:30 am to 5:00 pm
Sugar-30Jun21,1,10%,2%,-0.001132,-0.000665,7:30 am to 5:00 pm
Sugar-30Jun22,1,10%,2%,-0.001061,-0.000623,7:30 am to 5:00 pm
Sugar-30Sep20,1,10%,2%,-0.001139,-0.000669,7:30 am to 5:00 pm
Sugar-30Sep21,1,10%,2%,-0.001120,-0.000658,7:30 am to 5:00 pm
Sugar-30Sep22,1,10%,2%,-0.001053,-0.000618,7:30 am to 5:00 pm
VIX-16Dec20,0.1,0%,5%,-0.001437,-0.002046,10:01 pm to 9:00 pm
VIX-18Nov20,0.1,0%,5%,-0.001509,-0.002149,10:01 pm to 9:00 pm
VIX-21Oct20,0.1,0%,5%,-0.001433,-0.002042,10:01 pm to 9:00 pm
VIX-20Jan21,0.1,0%,5%,-0.001391,-0.001981,10:01 pm to 9:00 pm
