Instrument,Company,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
ACGL,Arch Capital Group Ltd.,10,20%,20%,-0.007119,-0.006092,1:30 pm to 8:00 pm
ACIA,Acacia Communications Inc,20,20%,10%,-0.016970,-0.014522,1:30 pm to 8:00 pm
ACIW,ACI Worldwide Inc.,20,20%,20%,-0.006316,-0.005404,1:30 pm to 8:00 pm
ACKB,Ackermans V.Haaren,1,20%,20%,-0.029771,-0.022795,7:00 am to 3:30 pm
ACM,Aecom Technology Corporation,20,20%,20%,-0.009865,-0.008441,1:30 pm to 8:00 pm
ACN,Accenture plc,5,20%,20%,-0.053730,-0.045977,1:30 pm to 8:00 pm
ACP,Asseco Poland SA,5,20%,20%,-0.018792,-0.013154,7:00 am to 2:45 pm
ACS,Acs Actividades de Construccion y Servicios SA,20,20%,20%,-0.005116,-0.003917,7:00 am to 3:30 pm
ACX,Acerinox SA,1,20%,5%,-0.001837,-0.001407,7:00 am to 3:30 pm
AD,Koninklijke Ahold Delhaize NV,20,20%,10%,-0.006907,-0.005288,7:00 am to 3:30 pm
ADBE,Adobe Systems Incorporated,10,20%,10%,-0.120049,-0.102728,1:30 pm to 8:00 pm
ADEN,Adecco SA,10,20%,20%,-0.010471,-0.012183,7:00 am to 3:30 pm
ADI,"Analog Devices, Inc.",5,20%,20%,-0.028403,-0.024305,1:30 pm to 8:00 pm
ADM,Admiral Group PLC,1,20%,5%,-0.006875,-0.005760,7:01 am to 3:30 pm
ADM,Archer Daniels Midland Company,10,20%,20%,-0.011534,-0.009870,1:30 pm to 8:00 pm
ADMA,"ADMA Biologics, Inc.",1,20%,5%,-0.000525,-0.000446,1:30 pm to 8:00 pm
ADNT,Adient plc,1,20%,5%,-0.004023,-0.003443,1:30 pm to 8:00 pm
ADP,Automatic Data Processing,10,20%,10%,-0.033675,-0.028816,1:30 pm to 8:00 pm
ADP,Aeroports De Paris SA,5,20%,10%,-0.022203,-0.017000,7:00 am to 3:30 pm
ADS,Adidas AG,5,20%,5%,-0.075056,-0.057468,7:00 am to 3:30 pm
ADSK,"Autodesk, Inc.",10,20%,10%,-0.057038,-0.048809,1:30 pm to 8:00 pm
ADV,Adva Optical Networking SE,1,20%,10%,-0.001630,-0.001248,7:00 am to 3:30 pm
ADYEN,Adyen NV,1,20%,10%,-0.467057,-0.329818,7:00 am to 3:30 pm
AEE,Ameren Corporation,10,20%,20%,-0.019570,-0.016747,1:30 pm to 8:00 pm
AEGN,AEGON NV,40,20%,10%,-0.000554,-0.000424,7:00 am to 3:30 pm
AEIS,Advanced Energy Industriec Inc.,10,20%,10%,-0.014955,-0.012798,1:30 pm to 8:00 pm
