Instrument,Company,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
BEKB,NV Bekaert SA,1,20%,20%,-0.004637,-0.003550,7:00 am to 3:30 pm
BEN,"Franklin Resources, Inc.",20,20%,20%,-0.004914,-0.004205,1:30 pm to 8:00 pm
BEN,Bendigo And Adelaide Bank Ltd.,100,20%,20%,-0.001618,-0.001442,12:00 am to 6:00 am
BETS-B,Betsson AB,1,20%,5%,-0.015822,-0.016005,7:00 am to 3:25 pm
BEZG,Beazley PLC,1,20%,5%,-0.000801,-0.000671,7:01 am to 3:30 pm
BG,Bunge Ltd,10,20%,10%,-0.011532,-0.009868,1:30 pm to 8:00 pm
BGN,Banca Generali SpA,1,20%,5%,-0.007041,-0.005391,7:01 am to 3:30 pm
BHC,Bausch Health Companies Inc,1,20%,5%,-0.003828,-0.003276,1:30 pm to 8:00 pm
BHPB,BHP Group plc,1,20%,5%,-0.004377,-0.003667,7:01 am to 3:30 pm
BHW,Bank Handlowy w Warszawie SA,10,20%,20%,-0.009715,-0.006801,7:00 am to 2:45 pm
BIDU,"Baidu, Inc.(ADR)",5,20%,10%,-0.030810,-0.026365,8:00 am to 12:00 am
BIIB,Biogen Inc.,1,20%,5%,-0.068362,-0.058499,1:30 pm to 8:00 pm
BILL,BillerudKorsnäs AB,30,20%,20%,-0.034972,-0.035377,7:00 am to 3:25 pm
BIM,Biomerieux SA,10,20%,10%,-0.035244,-0.026986,7:00 am to 3:30 pm
BIO,Bio-Rad Laboratories Inc.,5,20%,20%,-0.126248,-0.108032,1:30 pm to 8:00 pm
BION,BB Biotech AG,10,20%,20%,-0.014553,-0.016933,7:00 am to 3:30 pm
BIRG,Bank of Ireland Group PLC,10,20%,10%,-0.000466,-0.000329,7:00 am to 3:25 pm
BJ,"BJs Wholesale Holdings, Inc.",1,20%,5%,-0.010055,-0.008604,1:30 pm to 8:00 pm
BK,The Bank of New York Mellon Corporation,10,20%,10%,-0.008358,-0.007152,1:30 pm to 8:00 pm
BKD,Brookdale Senior Living Inc,100,20%,10%,-0.000619,-0.000530,1:30 pm to 8:00 pm
BKG,The Berkeley Group Holdings PLC,1,20%,10%,-0.010632,-0.008908,7:01 am to 3:30 pm
BKIA,"Bankia, S.A.",1,20%,10%,-0.000339,-0.000260,7:00 am to 3:30 pm
BKL,Blackmores Ltd.,5,20%,20%,-0.017480,-0.015572,12:00 am to 6:00 am
BKNG,Booking Holdings Inc.,1,20%,5%,-0.414709,-0.354873,1:30 pm to 8:00 pm
BKR,Baker Hughes Company,20,20%,20%,-0.003285,-0.002811,1:30 pm to 8:00 pm
BKT,Bankinter SA,50,20%,10%,-0.001032,-0.000790,7:00 am to 3:30 pm
BKU,"BankUnited, Inc.",10,20%,20%,-0.005346,-0.004575,1:30 pm to 8:00 pm
BLD,Topbuild Corp,1,0%,10%,-0.039698,-0.033970,1:30 pm to 8:00 pm
BLDP,"Ballard Power Systems, Inc.",1,20%,5%,-0.003417,-0.012897,8:00 am to 12:00 am
BLK,BlackRock Inc,1,20%,10%,-0.137116,-0.117332,1:30 pm to 8:00 pm
BLKB,Blackbaud Inc.,5,20%,20%,-0.014205,-0.012155,1:30 pm to 8:00 pm
BLL,Ball Corporation,10,20%,10%,-0.020380,-0.017440,1:30 pm to 8:00 pm
BLMN,Bloomin' Brands Inc.,20,20%,10%,-0.003818,-0.003267,1:30 pm to 8:00 pm
BLND,British Land Company plc,1,20%,5%,-0.000828,-0.000694,7:01 am to 3:30 pm
BLNK,Blink Charging Co.,1,20%,5%,-0.002989,-0.021109,1:30 pm to 8:00 pm
BME,B&M European Value Retail SA,1,20%,5%,-0.001247,-0.001045,7:01 am to 3:30 pm
BME,Bolsas y Mercados Espanoles SHMSF SA,20,20%,20%,-0.008906,-0.006819,7:00 am to 3:30 pm
BMED,Banca Mediolanum SpA,1,20%,5%,-0.001665,-0.001275,7:01 am to 3:30 pm
BMO,BMO Financial Group,3,20%,5%,-0.020039,-0.018956,1:30 pm to 8:00 pm
BMRG,B. Riley Principal Merger Corp II,1,20%,5%,-0.002509,-0.002147,1:30 pm to 8:00 pm
BMRN,BioMarin Pharmaceutical Inc,10,20%,20%,-0.019373,-0.016578,1:30 pm to 8:00 pm
BMW,BMW AG St,5,20%,5%,-0.043513,-0.012210,7:00 am to 3:30 pm
BMY,Bristol-Myers Squibb Company,10,20%,20%,-0.014890,-0.012742,1:30 pm to 8:00 pm
BN,DANONE SA,10,20%,10%,-0.014719,-0.011270,7:00 am to 3:30 pm
BNL,Broadstone Net Lease Inc.,1,20%,5%,-0.004610,-0.003661,1:30 pm to 8:00 pm
BNPP,BNP PARIBAS SA,10,20%,10%,-0.008143,-0.006235,7:00 am to 3:30 pm
BNR,Brenntag AG,1,20%,5%,-0.014668,-0.011231,7:00 am to 3:30 pm
BNS,Bank Of Nova Scotia,5,20%,10%,-0.013997,-0.013240,1:30 pm to 8:00 pm
BNZL,Bunzl PLC,1,20%,10%,-0.006372,-0.005339,7:01 am to 3:30 pm
BOKA,Boskalis Westminster NV,30,20%,20%,-0.004556,-0.003488,7:00 am to 3:30 pm
BOKF,BOK Financial Corporation,5,20%,20%,-0.012513,-0.010707,1:30 pm to 8:00 pm
BOL,Boliden AB,20,20%,20%,-0.063049,-0.063778,7:00 am to 3:25 pm
BOL,Bollore SA,1,20%,5%,-0.000843,-0.000646,7:00 am to 3:30 pm
BOO,boohoo.com plc,1,20%,5%,-0.000958,-0.000803,7:01 am to 3:30 pm
BOQ,Bank of Queensland Ltd.,100,20%,20%,-0.001576,-0.001404,12:00 am to 6:00 am
BOSS,Hugo Boss AG,10,20%,10%,-0.005692,-0.004358,7:00 am to 3:30 pm
BOWL,Hollywood Bowl Group PLC,1,20%,10%,-0.000338,-0.000283,7:01 am to 3:30 pm
Box,"Box, Inc - Class A",1,20%,5%,-0.004356,-0.003728,1:30 pm to 8:00 pm
BOXL,Boxlight Corporation,1,20%,5%,-0.000400,-0.000340,1:30 pm to 8:00 pm
BP,BP plc,1,20%,5%,-0.000600,-0.000502,7:01 am to 3:30 pm
BPE,BPER Banca SpA,1,20%,5%,-0.000529,-0.000405,7:01 am to 3:30 pm
BPOP,"Popular, Inc.",10,20%,20%,-0.008847,-0.007571,1:30 pm to 8:00 pm
BPOST,Bpost NV,30,20%,20%,-0.002039,-0.001561,7:00 am to 3:30 pm
BR,Broadridge Financial Solutions Inc,5,20%,20%,-0.032647,-0.027937,1:30 pm to 8:00 pm
BRBY,Burberry Group plc,1,20%,5%,-0.003958,-0.003316,7:01 am to 3:30 pm
BRE,Freni Brembo SpA,1,20%,5%,-0.002168,-0.001660,7:01 am to 3:30 pm
BRFS,BRF S.A.,100,20%,20%,-0.000882,-0.000755,1:30 pm to 8:00 pm
BRKb,Berkshire Hathaway Inc. Class B,5,20%,5%,-0.052658,-0.045061,1:30 pm to 8:00 pm
BRKR,Bruker Corporation,20,20%,20%,-0.009806,-0.008391,1:30 pm to 8:00 pm
BRO,"Brown & Brown, Inc.",20,20%,20%,-0.010998,-0.009412,1:30 pm to 8:00 pm
BRQS,"Borqs Technologies, Inc.",1,20%,5%,-0.000371,-0.000860,1:30 pm to 8:00 pm
BSL,BlueScope Steel Ltd.,40,20%,20%,-0.003212,-0.002862,12:00 am to 6:00 am
BSX,Boston Scientific Corporation,20,20%,20%,-0.009344,-0.007996,1:30 pm to 8:00 pm
BSY,"Bentley Systems, Inc. - Class B",1,20%,5%,-0.008376,-0.005181,1:30 pm to 8:00 pm
BT,British Telecom Group plc,1,20%,5%,-0.000254,-0.000213,7:01 am to 3:30 pm
BURL,"Burlington Stores, Inc.",5,20%,10%,-0.049910,-0.042709,1:30 pm to 8:00 pm
BV,BrightView Holdings,15,20%,5%,-0.002960,-0.002533,1:30 pm to 8:00 pm
BVB,Borussia Dortmund GmbH & Co KGaA,1,20%,10%,-0.001460,-0.001117,7:00 am to 3:30 pm
BVI,Bureau Veritas SA,1,20%,5%,-0.005112,-0.003914,7:00 am to 3:30 pm
BVIC,Britvic PLC,1,20%,5%,-0.002119,-0.001775,7:01 am to 3:30 pm
BWA,BorgWarner Inc,10,20%,20%,-0.009214,-0.007885,1:30 pm to 8:00 pm
BWY,Bellway PLC,1,20%,20%,-0.005785,-0.004847,7:01 am to 3:30 pm
BX,The Blackstone Group LP,20,20%,20%,-0.012800,-0.010954,1:30 pm to 8:00 pm
BXB,Brambles Ltd.,100,20%,20%,-0.002719,-0.002422,12:00 am to 6:00 am
BXP,Boston Properties Inc.,5,20%,20%,-0.020126,-0.017222,1:30 pm to 8:00 pm
BYND,Beyond Meat Inc.,1,20%,5%,-0.038856,-0.033853,8:00 am to 12:00 am
BZU,Buzzi Unicem SpA,1,20%,5%,-0.005157,-0.003948,7:01 am to 3:30 pm
C,Citigroup Inc.,10,20%,5%,-0.010514,-0.008997,8:00 am to 12:00 am
CABK,CaixaBank SA,50,20%,10%,-0.000499,-0.000382,7:00 am to 3:30 pm
CAG,ConAgra Brands Inc.,20,20%,20%,-0.008791,-0.007523,1:30 pm to 8:00 pm
CAH,Cardinal Health Inc,20,20%,10%,-0.011872,-0.010159,1:30 pm to 8:00 pm
CAI,CA Immobilien Anlagen AG,1,20%,20%,-0.006743,-0.005163,7:00 am to 3:30 pm
CAL,"Caleres, Inc.",1,20%,5%,-0.002364,-0.002023,1:30 pm to 8:00 pm
CAP,CAP GEMINI SA,10,20%,20%,-0.029758,-0.022785,7:00 am to 3:30 pm
CAPC,Capital & Counties Properties PLC,1,20%,5%,-0.000273,-0.000229,7:01 am to 3:30 pm
CAR,carsales.com Ltd.,1,20%,10%,-0.005228,-0.004657,12:00 am to 6:00 am
CAR,Avis Budget Group Inc,10,20%,10%,-0.006808,-0.005825,1:30 pm to 8:00 pm
CARA,Cara Therapeutics,5,20%,10%,-0.003241,-0.002773,1:30 pm to 8:00 pm
CARLb,Carlsberg A/S,5,20%,10%,-0.175037,-0.225515,7:00 am to 3:00 pm
CARR,CARREFOUR SA,1,20%,10%,-0.003704,-0.002836,7:00 am to 3:30 pm
CAST,Castellum AB,30,20%,20%,-0.047761,-0.048313,7:00 am to 3:25 pm
CAT,Caterpillar Inc.,2,20%,5%,-0.036544,-0.031272,8:00 am to 12:00 am
CB,Chubb Ltd.,5,20%,20%,-0.028499,-0.024387,1:30 pm to 8:00 pm
CBA,Commonwealth Bank of Australia,5,20%,5%,-0.016796,-0.014962,12:00 am to 6:00 am
CBG,Close Brothers Group PLC,1,20%,10%,-0.002424,-0.002031,7:01 am to 3:30 pm
CBK,Commerzbank AG,40,20%,10%,-0.001080,-0.000827,7:00 am to 3:30 pm
CBL,"CBL & Associates Properties, Inc.",150,20%,10%,-0.000042,-0.000036,1:30 pm to 8:00 pm
CBOE,"Cboe Global Markets, Inc.",5,20%,10%,-0.022425,-0.019189,1:30 pm to 8:00 pm
CBRE,CBRE Group Inc.,10,20%,20%,-0.011595,-0.009922,1:30 pm to 8:00 pm
CBSH,Commerce Bancshares Inc,10,20%,20%,-0.013538,-0.011584,1:30 pm to 8:00 pm
CCAC,CITIC Capital Acquisition Corp.,1,20%,5%,-0.002719,-0.002160,1:30 pm to 8:00 pm
CCI,Crown Castle International Corporation,5,20%,20%,-0.040471,-0.034632,1:30 pm to 8:00 pm
CCJ,Cameco Corp,40,20%,20%,-0.002509,-0.002147,1:30 pm to 8:00 pm
CCK,"Crown Holdings, Inc.",10,20%,10%,-0.018718,-0.016018,1:30 pm to 8:00 pm
CCL,Coca-Cola Amatil Ltd.,100,20%,20%,-0.002460,-0.002192,12:00 am to 6:00 am
CCL,Carnival PLC,1,20%,5%,-0.002227,-0.001591,7:01 am to 3:30 pm
CDI,Christian Dior SE,5,20%,10%,-0.093976,-0.071955,7:00 am to 3:30 pm
CDK,CDK Global Holdings LLC,10,20%,20%,-0.010916,-0.009341,1:30 pm to 8:00 pm
CDNS,Cadence Design Systems Inc,10,20%,20%,-0.025955,-0.022210,1:30 pm to 8:00 pm
CE,Celanese Corporation,5,20%,20%,-0.026561,-0.022728,1:30 pm to 8:00 pm
CENX,Century Aluminum Company,30,20%,10%,-0.001778,-0.001522,1:30 pm to 8:00 pm
CERN,Cerner Corporation,1,20%,5%,-0.017352,-0.014848,1:30 pm to 8:00 pm
CEY,Centamin PLC,1,20%,5%,-0.000513,-0.000429,7:01 am to 3:30 pm
CF,CF Industries Holdings Inc,10,20%,10%,-0.007612,-0.006514,1:30 pm to 8:00 pm
CFR,Compagnie Financiere Richemont SA,3,20%,10%,-0.013413,-0.015607,7:00 am to 3:30 pm
CFR,Cullen/Frost Bankers Inc.,5,20%,20%,-0.015691,-0.013427,1:30 pm to 8:00 pm
CFX,Colfax Corporation,20,20%,20%,-0.007651,-0.006547,1:30 pm to 8:00 pm
CGCBV,Cargotec Oyj,20,20%,20%,-0.007130,-0.005459,7:00 am to 3:30 pm
CGF,Challenger Ltd.,50,20%,20%,-0.000958,-0.000853,12:00 am to 6:00 am
CGNX,Cognex Corporation,10,20%,10%,-0.015426,-0.013200,1:30 pm to 8:00 pm
CGT,Capital Gearing Trust PLC,1,20%,5%,-0.011640,-0.009752,7:01 am to 3:30 pm
CHD,Church & Dwight Company Inc.,10,20%,20%,-0.023266,-0.019909,1:30 pm to 8:00 pm
CHK,Chesapeake Energy Corporation,1,20%,10%,-0.000215,0.000215,1:30 pm to 8:00 pm
CHKP,Check Point Software Technologies Ltd.,10,20%,10%,-0.030082,-0.025742,1:30 pm to 8:00 pm
CHL,China Mobile Limited (ADR),1,20%,20%,-0.008188,-0.007006,1:30 pm to 8:00 pm
CHMF,Severstal PAO,1,20%,10%,-0.451504,-0.041046,7:00 am to 4:00 pm
CHRH,Chr Hansen Holding A/S,10,20%,20%,-0.141187,-0.181903,7:00 am to 3:00 pm
CHRW,"C.H. Robinson Worldwide, Inc.",10,20%,10%,-0.025616,-0.021920,1:30 pm to 8:00 pm
CHT,Chunghwa Tele. Ltd.,20,20%,20%,-0.009135,-0.007817,1:30 pm to 8:00 pm
CHTR,Charter Communications Inc,5,20%,20%,-0.153704,-0.131527,1:30 pm to 8:00 pm
CHU,China Unicom,40,20%,20%,-0.001711,-0.001464,1:30 pm to 8:00 pm
CHWY,"Chewy, Inc.",1,20%,5%,-0.009588,-0.007561,1:30 pm to 8:00 pm
CI,Cigna Corporation,5,20%,10%,-0.040665,-0.034798,1:30 pm to 8:00 pm
CIEN,CIENA Corp,20,20%,10%,-0.009836,-0.008417,1:30 pm to 8:00 pm
CIM,CIMIC Group Ltd.,20,20%,20%,-0.004889,-0.004355,12:00 am to 6:00 am
CIM,Chimera Investment Corporation,30,20%,20%,-0.002191,-0.001875,1:30 pm to 8:00 pm
CINE,Cineworld Group PLC,1,20%,5%,-0.000104,-0.000074,7:01 am to 3:30 pm
CINF,Cincinnati Financial Corporation,10,20%,20%,-0.019243,-0.016466,1:30 pm to 8:00 pm
CIT,CIT Group Inc.,10,20%,20%,-0.004088,-0.003498,1:30 pm to 8:00 pm
CL,Colgate-Palmolive Company,10,20%,20%,-0.019012,-0.016269,1:30 pm to 8:00 pm
CLB,Core Laboratories N.V.,5,20%,10%,-0.003893,-0.003331,1:30 pm to 8:00 pm
CLDR,Cloudera Inc.,1,20%,5%,-0.003002,-0.002384,1:30 pm to 8:00 pm
CLH,Clean Harbors Inc.,10,20%,20%,-0.013778,-0.011790,1:30 pm to 8:00 pm
CLN,Clariant AG,20,20%,20%,-0.003976,-0.004626,7:00 am to 3:30 pm
CLNX,Cellnex Telecom SA,30,20%,20%,-0.014372,-0.011004,7:00 am to 3:30 pm
CLNY,"Colony Capital , Inc. Class A",20,20%,10%,-0.000657,-0.000562,1:30 pm to 8:00 pm
CLX,Clorox Company,5,20%,20%,-0.052932,-0.045295,1:30 pm to 8:00 pm
CM,Canadian Imperial Bank Of Commerce,3,20%,10%,-0.025637,-0.024251,1:30 pm to 8:00 pm
CMA,Comerica Incorporated,5,20%,20%,-0.009334,-0.007987,1:30 pm to 8:00 pm
CMCSA,Comcast Corporation,10,20%,5%,-0.011553,-0.009886,1:30 pm to 8:00 pm
CME,CME Group Inc,5,20%,20%,-0.041761,-0.035736,1:30 pm to 8:00 pm
CMG,"Chipotle Mexican Grill, Inc.",1,20%,10%,-0.311532,-0.266583,1:30 pm to 8:00 pm
CMI,Cummins Inc.,5,20%,10%,-0.052227,-0.044691,1:30 pm to 8:00 pm
CMPS,Compass Pathways Plc.,1,20%,5%,-0.010309,-0.006376,1:30 pm to 8:00 pm
CMS,CMS Energy Corporation,10,20%,10%,-0.015351,-0.013136,1:30 pm to 8:00 pm
CNA,Centrica plc,1,20%,5%,-0.000230,-0.000086,7:01 am to 3:30 pm
CNC,Centene Corp,5,20%,20%,-0.013874,-0.011872,1:30 pm to 8:00 pm
CNE,Cairn Energy PLC,1,20%,5%,-0.000364,-0.000305,7:01 am to 3:30 pm
CNHI,CNH Industrial NV,1,20%,5%,-0.001732,-0.001326,7:01 am to 3:30 pm
CNK,Cinemark Holdings Inc.,20,20%,10%,-0.002609,-0.002233,1:30 pm to 8:00 pm
CNO,CNO Financial Group Inc.,30,20%,20%,-0.003921,-0.003355,1:30 pm to 8:00 pm
CNP,CNP Assurances SA,30,20%,10%,-0.002726,-0.002087,7:00 am to 3:30 pm
CNP,"CenterPoint Energy, Inc.",20,20%,10%,-0.004752,-0.004066,1:30 pm to 8:00 pm
CNQ,Canadian Natural Resources Ltd,4,20%,10%,-0.005555,-0.005255,1:30 pm to 8:00 pm
CNR,Canadian National Railway Co,4,20%,10%,-0.036513,-0.034539,1:30 pm to 8:00 pm
CNX,CNX Resources Corp,30,20%,10%,-0.002597,-0.002222,1:30 pm to 8:00 pm
CO,Casino Guichard Perrachon SA,20,20%,10%,-0.005638,-0.004317,7:00 am to 3:30 pm
COA,Coats Group PLC,1,20%,5%,-0.000137,-0.000114,7:01 am to 3:30 pm
COCP,"Cocrystal Pharma, Inc.",1,20%,5%,-0.000169,-0.001103,8:00 am to 12:00 am
CODX,"Co-Diagnostics, Inc.",1,20%,5%,-0.005020,-0.015614,8:00 am to 12:00 am
COF,Capital One Financial Corporation,5,20%,20%,-0.017359,-0.014855,1:30 pm to 8:00 pm
COFB,Cofinimmo-Sicafi,1,20%,20%,-0.033406,-0.025578,7:00 am to 3:30 pm
COG,Cabot Oil & Gas,20,20%,10%,-0.004536,-0.003882,1:30 pm to 8:00 pm
COH,Cochlear Ltd.,5,20%,20%,-0.051190,-0.045602,12:00 am to 6:00 am
COLM,Columbia Sportswear Company,10,20%,20%,-0.022539,-0.019287,1:30 pm to 8:00 pm
COLOb,Coloplast A/S,5,20%,10%,-0.202792,-0.261274,7:00 am to 3:00 pm
COLR,Etablissementen Fr Colruyt NV,1,20%,20%,-0.015130,-0.011585,7:00 am to 3:30 pm
COMM,Commscope Holding,20,20%,20%,-0.002126,-0.001819,1:30 pm to 8:00 pm
CON,Continental AG,1,20%,5%,-0.024041,-0.018408,7:00 am to 3:30 pm
COO,Cooper Companies Inc,1,20%,5%,-0.083446,-0.071406,1:30 pm to 8:00 pm
COP,ConocoPhillips,1,20%,5%,-0.008436,-0.007218,1:30 pm to 8:00 pm
COST,Costco Wholesale Corporation,0.1,20%,5%,-0.085721,-0.073353,1:30 pm to 8:00 pm
COTY,Coty Inc.,30,20%,20%,-0.000677,-0.000703,1:30 pm to 8:00 pm
COUP,"Coupa Software, Inc",1,20%,5%,-0.068353,-0.058491,1:30 pm to 8:00 pm
CP,Canadian Pacific Railway Ltd,2,20%,10%,-0.103331,-0.097746,1:30 pm to 8:00 pm
CPA,Copa Holdings S.A.,5,20%,20%,-0.013999,-0.011979,1:30 pm to 8:00 pm
CPAA,Conyers Park Acquisition Corp,1,20%,5%,-0.003012,-0.002644,1:30 pm to 8:00 pm
CPB,Campbell Soup Company,10,20%,10%,-0.011904,-0.010187,1:30 pm to 8:00 pm
CPG,Compass Group plc,1,20%,5%,-0.003045,-0.002551,7:01 am to 3:30 pm
CPI,Capita PLC,1,20%,10%,-0.000100,-0.000061,7:01 am to 3:30 pm
CPR,Davide Campari Milano SpA,1,20%,5%,-0.002464,-0.001887,7:01 am to 3:30 pm
CPRI,Capri Holdings Limited,100,20%,10%,-0.004872,-0.004169,1:30 pm to 8:00 pm
CPRT,"Copart, Inc.",10,20%,20%,-0.026098,-0.022332,1:30 pm to 8:00 pm
CPT,Camden Property Trust,10,20%,20%,-0.022600,-0.019339,1:30 pm to 8:00 pm
CPU,Computershare Ltd.,40,20%,20%,-0.003126,-0.002785,12:00 am to 6:00 am
CR,Crane Company,10,20%,20%,-0.012421,-0.010629,1:30 pm to 8:00 pm
CRBN,Corbion NV,1,20%,10%,-0.010338,-0.007916,7:00 am to 3:30 pm
CRBP,Corbus Pharmaceuticals Holding,50,20%,5%,-0.000420,-0.000841,1:30 pm to 8:00 pm
CRDA,Croda International PLC,1,20%,5%,-0.015807,-0.013244,7:01 am to 3:30 pm
CRDI,UniCredit SpA,1,20%,5%,-0.001821,-0.001394,7:01 am to 3:30 pm
CREE,"Cree, Inc.",10,20%,10%,-0.015017,-0.012850,1:30 pm to 8:00 pm
CRH,CRH plc,1,20%,5%,-0.007198,-0.006031,7:01 am to 3:30 pm
CRI,"Carter's, Inc.",5,20%,10%,-0.021862,-0.018707,1:30 pm to 8:00 pm
CRM,"Salesforce.com, Inc.",1,20%,5%,-0.060681,-0.051926,8:00 am to 12:00 am
CRON,Cronos Group Inc,20,20%,5%,-0.001749,-0.005624,1:30 pm to 8:00 pm
CRSP,Crispr Therapeutics AG,5,20%,5%,-0.021037,-0.018002,1:30 pm to 8:00 pm
CRSR,"Corsair Gaming, Inc.",1,20%,5%,-0.004172,-0.002581,1:30 pm to 8:00 pm
CRST,Crest Nicholson Holdings PLC,1,20%,10%,-0.000461,-0.000386,7:01 am to 3:30 pm
CRUS,Cirrus Logic Inc,20,20%,10%,-0.015771,-0.013496,1:30 pm to 8:00 pm
CRWD,"CrowdStrike, Inc.",1,20%,5%,-0.023306,-0.018379,8:00 am to 12:00 am
CS,AXA SA,1,20%,5%,-0.004193,-0.003210,7:00 am to 3:30 pm
CSCO,Cisco Systems,10,20%,10%,-0.009608,-0.008222,8:00 am to 12:00 am
CSGN,Credit Suisse Group AG,1,20%,5%,-0.001938,-0.002255,7:00 am to 3:30 pm
CSL,CSL Limited,5,20%,5%,-0.075083,-0.066886,12:00 am to 6:00 am
CSP,Countryside Properties PLC,1,20%,5%,-0.000874,-0.000732,7:01 am to 3:30 pm
CSPR,"Casper Sleep, Inc.",1,20%,5%,-0.001663,-0.006027,1:30 pm to 8:00 pm
CSR,CSR Ltd.,300,20%,20%,-0.001095,-0.000976,12:00 am to 6:00 am
CSU,Constellations Software Inc,1,20%,20%,-0.398976,-0.377409,1:30 pm to 8:00 pm
CSX,CSX Corporation,10,20%,20%,-0.019544,-0.016724,1:30 pm to 8:00 pm
CTAS,Cintas Corporation,10,20%,10%,-0.081885,-0.070070,1:30 pm to 8:00 pm
CTEC,ConvaTec Group PLC,1,20%,5%,-0.000457,-0.000383,7:01 am to 3:30 pm
CTT,CTT Correios de Portugal SA,1,20%,20%,-0.000693,-0.000489,7:00 am to 3:25 pm
CTVA,Corteva Inc,10,20%,5%,-0.004849,-0.003824,1:30 pm to 8:00 pm
CVAC,CureVac NV,1,20%,5%,-0.013165,-0.011558,8:00 am to 12:00 am
CVE,Cenovus Energy Inc,20,20%,10%,-0.001337,-0.001265,1:30 pm to 8:00 pm
CVLT,CommVault Systems Inc,10,20%,10%,-0.010027,-0.008581,1:30 pm to 8:00 pm
CVNA,Carvana Co.,5,20%,5%,-0.050870,-0.043530,1:30 pm to 8:00 pm
CVS,CVS Health Corp,10,20%,20%,-0.014348,-0.012278,1:30 pm to 8:00 pm
CVX,Chevron Corporation,5,20%,5%,-0.017962,-0.015371,8:00 am to 12:00 am
CWK,Cushman & Wakefield Plc,1,20%,5%,-0.002552,-0.002183,1:30 pm to 8:00 pm
CWN,Crown Ltd.,50,20%,20%,-0.002328,-0.002074,12:00 am to 6:00 am
CX,Cemex SAB de CV ADR,100,20%,20%,-0.000897,-0.000768,1:30 pm to 8:00 pm
CXO,Concho Resources Inc.,5,20%,10%,-0.010940,-0.009361,1:30 pm to 8:00 pm
CXP,"Columbia Property Trust, Inc.",30,20%,20%,-0.002694,-0.002306,1:30 pm to 8:00 pm
CXW,CoreCivic Inc.,30,20%,20%,-0.002013,-0.001723,1:30 pm to 8:00 pm
CYBR,Cyberark Software Ltd.,1,20%,5%,-0.016953,-0.013370,1:30 pm to 8:00 pm
D,Dominion Energy Inc.,10,20%,20%,-0.019280,-0.016498,1:30 pm to 8:00 pm
DADA,Dada Nexus Limited,1,20%,5%,-0.005944,-0.005738,1:30 pm to 8:00 pm
DAI,Daimler AG,10,20%,10%,-0.011929,-0.009133,7:00 am to 3:30 pm
DAL,"Delta Air Lines, Inc.",1,20%,10%,-0.007452,-0.006377,1:30 pm to 8:00 pm
DAN,Danieli & C Officine Meccaniche SpA,1,20%,5%,-0.003637,-0.002784,7:01 am to 3:30 pm
DAN,Dana Inc.,20,20%,10%,-0.002892,-0.002475,1:30 pm to 8:00 pm
DANSKE,Danske Bank A/S,20,20%,10%,-0.016732,-0.021557,7:00 am to 3:00 pm
DB1,Deutsche Borse AG,10,20%,10%,-0.039663,-0.030369,7:00 am to 3:30 pm
DBK,Deutsche Bank AG,1,20%,5%,-0.001826,-0.001398,7:00 am to 3:30 pm
DBX,"Dropbox, Inc.",1,20%,5%,-0.004813,-0.004118,8:00 am to 12:00 am
DC.,Dixons Carphone PLC,1,20%,5%,-0.000229,-0.000192,7:01 am to 3:30 pm
DCC,DCC PLC,1,20%,5%,-0.015663,-0.013123,7:01 am to 3:30 pm
DCI,Donaldson Company Inc.,10,20%,20%,-0.011504,-0.009844,1:30 pm to 8:00 pm
DCP,DCP Midstream LLC,10,20%,20%,-0.002600,-0.002225,1:30 pm to 8:00 pm
DD,"DuPont de Nemours, Inc",10,20%,5%,-0.013772,-0.011785,1:30 pm to 8:00 pm
DDD,3D Systems Corporation,40,20%,10%,-0.001163,-0.000995,1:30 pm to 8:00 pm
DDOG,"Datadog, Inc.",1,20%,5%,-0.021769,-0.018498,1:30 pm to 8:00 pm
DDS,"Dillard's, Inc.",10,20%,10%,-0.007677,-0.006570,1:30 pm to 8:00 pm
DE,Deere & Company,5,20%,20%,-0.054893,-0.046973,1:30 pm to 8:00 pm
DEC,JCDecaux SA,20,20%,10%,-0.003916,-0.002999,7:00 am to 3:30 pm
DEI,Douglas Emmett Inc.,20,20%,20%,-0.006153,-0.005265,1:30 pm to 8:00 pm
DELL,"Dell Technologies, Inc.",1,20%,5%,-0.016438,-0.014066,1:30 pm to 8:00 pm
DEMANT,William Demant Holding A/S,20,20%,20%,-0.037351,-0.048123,7:00 am to 3:00 pm
DEQ,Deutsche Euroshop AG,1,20%,10%,-0.002569,-0.001967,7:00 am to 3:30 pm
DEZ,Deutz AG,1,20%,10%,-0.001247,-0.000955,7:00 am to 3:30 pm
DFDS,DFDS A/S,10,20%,20%,-0.040997,-0.052820,7:00 am to 3:00 pm
DFS,"Discover Financial Services, Inc.",10,20%,20%,-0.013543,-0.011589,1:30 pm to 8:00 pm
DG,VINCI SA,10,20%,10%,-0.019098,-0.014623,7:00 am to 3:30 pm
DG,Dollar General Corporation,5,20%,20%,-0.052164,-0.044638,1:30 pm to 8:00 pm
DGE,Diageo plc,1,20%,5%,-0.006465,-0.005416,7:01 am to 3:30 pm
DHER,Delivery Hero AG,10,20%,5%,-0.028406,-0.020059,7:00 am to 3:30 pm
DHI,D.R. Horton Inc,20,20%,10%,-0.017974,-0.015380,1:30 pm to 8:00 pm
